Points_0,Points_1,Points_2,U_0,U_1,U_2
0.0222336,0.0121792,-0.00771923,0.211564,0.0689702,0.182026
0.0222341,0.0116788,-0.00771923,0.199504,0.035333,0.196126
0.0227356,0.0116777,-0.00771923,0.206338,0.0436609,0.169798
0.0227368,0.0111768,-0.00771923,0.199987,0.00543236,0.173843
0.0222348,0.0111782,-0.00771923,0.192981,-0.0037624,0.199534
0.0242553,0.011166,-0.00771923,0.173079,0.0142663,0.121559
0.0247695,0.0111605,-0.00771923,0.156678,0.0113921,0.112612
0.0252746,0.0116725,-0.00771923,0.128733,0.0313868,0.102431
0.0202441,0.0066651,-0.00771923,0.0796569,-0.221966,0.0736471
0.01974,0.00667046,-0.00771923,0.0793422,-0.231876,0.0791537
0.0202406,0.00717038,-0.00771923,0.0843503,-0.234945,0.0860043
0.0197372,0.007174,-0.00771923,0.0826479,-0.242698,0.0933716
0.0142304,0.0111782,-0.00771923,-0.228509,0.00720485,0.169732
0.0137284,0.0111768,-0.00771923,-0.236299,0.0142259,0.137828
0.0142311,0.0116788,-0.00771923,-0.231207,0.0301901,0.168983
0.0137296,0.0116777,-0.00771923,-0.238078,0.0344511,0.138657
0.0142316,0.0121792,-0.00771923,-0.235407,0.0534694,0.162815
0.0137304,0.0121784,-0.00771923,-0.240217,0.0549486,0.133624
0.0142319,0.0126796,-0.00771923,-0.236099,0.0779109,0.151226
0.0137309,0.0126791,-0.00771923,-0.237678,0.0760993,0.123317
0.014232,0.0131799,-0.00771923,-0.241625,0.0975506,0.12996
0.0137312,0.0131798,-0.00771923,-0.240335,0.0935885,0.108368
0.0132299,0.0131798,-0.00771923,-0.230828,0.0869984,0.0932548
0.0132295,0.0126784,-0.00771923,-0.230927,0.072492,0.103149
0.013731,0.0136805,-0.00771923,-0.244717,0.10375,0.0904096
0.0132297,0.0136812,-0.00771923,-0.23485,0.0969434,0.0823999
0.0132288,0.0141825,-0.00771923,-0.236936,0.0970814,0.0761631
0.0137307,0.0141812,-0.00771923,-0.246126,0.102426,0.0811292
0.0142319,0.0136802,-0.00771923,-0.248064,0.107663,0.10456
0.0142317,0.0141805,-0.00771923,-0.250059,0.105386,0.092208
0.0127277,0.0136822,-0.00771923,-0.218284,0.08762,0.0785699
0.0127284,0.0131797,-0.00771923,-0.214457,0.0792709,0.0839366
0.0127274,0.0126773,-0.00771923,-0.217054,0.0685394,0.0896344
0.0127222,0.0116727,-0.00771923,-0.223838,0.0413354,0.0985223
0.0132268,0.0116758,-0.00771923,-0.234961,0.0376562,0.115718
0.0127194,0.0111714,-0.00771923,-0.223264,0.0280257,0.0975413
0.0132251,0.0111748,-0.00771923,-0.233591,0.0204711,0.114148
0.0127251,0.0121748,-0.00771923,-0.224077,0.0554278,0.0961001
0.0132284,0.012177,-0.00771923,-0.236032,0.0551966,0.111911
0.0122262,0.0131797,-0.00771923,-0.193829,0.0716572,0.0790207
0.0122246,0.0126763,-0.00771923,-0.198085,0.0642629,0.0822693
0.0122208,0.0121725,-0.00771923,-0.206064,0.0551809,0.0866332
0.0122154,0.0116687,-0.00771923,-0.207008,0.0445251,0.0880056
0.0122099,0.0111661,-0.00771923,-0.207198,0.0352522,0.0872104
0.0152325,0.0121798,-0.00771923,-0.192996,0.0398923,0.213875
0.0152323,0.0116797,-0.00771923,-0.184557,0.0135165,0.219942
0.0147322,0.0121796,-0.00771923,-0.219404,0.0487809,0.188849
0.0147319,0.0116794,-0.00771923,-0.212953,0.0236991,0.195667
0.0142293,0.0106773,-0.00771923,-0.221377,-0.0133605,0.168741
0.0137265,0.0106753,-0.00771923,-0.229298,-0.00196279,0.135401
0.0162318,0.009679,-0.00771923,-0.0856778,-0.117705,0.224382
0.0157312,0.00967841,-0.00771923,-0.116184,-0.10614,0.22558
0.0162322,0.0101795,-0.00771923,-0.0946434,-0.0890388,0.229746
0.0157319,0.0101792,-0.00771923,-0.127859,-0.0783995,0.231883
0.0162324,0.0106797,-0.00771923,-0.101975,-0.0612739,0.232746
0.0157323,0.0106796,-0.00771923,-0.136757,-0.0509331,0.23519
0.0162325,0.0111798,-0.00771923,-0.108866,-0.0345354,0.231425
0.0157324,0.0111797,-0.00771923,-0.14432,-0.0238103,0.233379
0.0152322,0.0111795,-0.00771923,-0.180111,-0.0124836,0.22293
0.0152319,0.0106793,-0.00771923,-0.172001,-0.0387036,0.224693
