Points_0,Points_1,Points_2,U_0,U_1,U_2
0.0218166,0.00589122,-0.00771923,0.0351844,-0.128109,0.0786691
0.0202506,0.00554951,-0.00771923,0.0408544,-0.181982,0.0841874
0.0203094,0.00554736,-0.00771923,0.0395935,-0.178543,0.0885184
0.0207311,0.00551919,-0.00771923,0.0231421,-0.14419,0.108793
0.0207559,0.00587771,-0.00771923,0.044504,-0.186947,0.0954416
0.0177495,0.00506382,-0.00771923,-0.000419707,-0.142947,0.0717156
0.0201941,0.0055485,-0.00771923,0.0409071,-0.181496,0.0861634
0.0197731,0.00552216,-0.00771923,0.0400163,-0.171597,0.0958218
0.0193291,0.00556319,-0.00771923,0.0374818,-0.186803,0.0928995
0.0172516,0.00513266,-0.00771923,0.00961985,-0.138468,0.0633197
0.0126132,0.00809597,-0.00771923,-0.141526,-0.113455,0.0968929
0.0119473,0.00849202,-0.00771923,-0.139747,-0.094879,0.0717607
0.0117418,0.00847212,-0.00771923,-0.135393,-0.086878,0.0856739
0.0115783,0.0101332,-0.00771923,-0.198087,-0.0627771,0.0944368
0.0109639,0.0100454,-0.00771923,-0.162244,-0.0451262,0.0882057
0.0172249,0.00565235,-0.00771923,-0.00814577,-0.187801,0.085619
0.0172457,0.0056523,-0.00771923,-0.00805771,-0.18818,0.0858005
0.0146432,0.019853,-0.00771923,-0.0585754,0.144406,0.0979529
0.0249331,0.00960259,-0.00771923,0.167665,-0.0523902,0.0922506
0.0228411,0.00718091,-0.00771923,0.108912,-0.165843,0.100169
0.0228119,0.00760688,-0.00771923,0.125409,-0.171769,0.0877342
0.0232668,0.00760078,-0.00771923,0.119215,-0.144672,0.0988643
0.0234435,0.00712238,-0.00771923,0.0924548,-0.125559,0.096632
0.023824,0.00759836,-0.00771923,0.1023,-0.0984975,0.109589
0.013572,0.0188925,-0.00771923,-0.101513,0.132151,0.078015
0.0114833,0.0166729,-0.00771923,-0.176249,0.0792235,0.123839
0.0109935,0.0163904,-0.00771923,-0.137882,0.0441267,0.0919248
0.0114578,0.0168884,-0.00771923,-0.158671,0.0771632,0.136675
0.0113738,0.0169662,-0.00771923,-0.167496,0.0892643,0.162692
0.0114262,0.0172037,-0.00771923,-0.142839,0.066472,0.109293
0.0119927,0.0168351,-0.00771923,-0.182503,0.091115,0.0955753
0.0109263,0.0158133,-0.00771923,-0.17255,0.0448087,0.0698442
0.0109866,0.0147188,-0.00771923,-0.183286,0.0326258,0.0790216
0.01086,0.0147121,-0.00771923,-0.174893,0.0295331,0.0860822
0.0105117,0.014681,-0.00771923,-0.142744,0.0138871,0.0939701
0.0167232,0.0111067,-0.00771923,-0.0898909,-0.12366,0.317364
0.0172257,0.0106867,-0.00771923,-0.0616911,-0.168843,0.341247
0.0171364,0.0106867,-0.00771923,-0.0671078,-0.168606,0.339508
0.0167233,0.0111894,-0.00771923,-0.0889563,-0.116189,0.315393
0.0172262,0.0111895,-0.00771923,-0.0621412,-0.113292,0.32262
